id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason,fs,tr
1,long,2024-01-01T07:00:00+00:00,2024-01-01T14:00:00+00:00,2286.95,2298.5614344033193,1.3118,2.4061,12.8258,SL,-0.7274,-0.8374
2,long,2024-01-01T15:30:00+00:00,2024-01-01T22:00:00+00:00,2316.0,2333.7091483641625,1.312,2.4402,20.7942,SL,1.2338,1.1779
3,short,2024-01-02T01:30:00+00:00,2024-01-02T08:00:00+00:00,2380.86,2410.7879884886393,1.3024,2.4963,-41.4745,SL,2.7371,2.9237
4,long,2024-01-03T05:00:00+00:00,2024-01-03T11:00:00+00:00,2376.06,2350.837976424364,1.2527,2.3686,-33.9642,SL,0.5378,0.5322
5,long,2024-01-05T09:00:00+00:00,2024-01-05T14:30:00+00:00,2258.29,2229.4947733840377,1.2729,2.285,-38.9384,SL,1.5038,1.2661
6,long,2024-01-05T23:00:00+00:00,2024-01-06T05:00:00+00:00,2267.74,2236.026156815963,1.2161,2.1908,-40.758,SL,1.6515,1.4734
7,long,2024-01-06T14:00:00+00:00,2024-01-07T11:30:00+00:00,2244.19,2236.41,1.1743,2.1046,-11.2407,Replace,0.2839,0.0527
8,long,2024-01-07T11:30:00+00:00,2024-01-07T16:30:00+00:00,2236.41,2220.4887813425366,1.1634,2.0741,-20.5968,SL,-0.911,-0.944
9,long,2024-01-07T17:30:00+00:00,2024-01-07T22:30:00+00:00,2238.2,2215.7736462419994,1.1348,2.0217,-27.4712,SL,-1.2759,-1.3792
10,long,2024-01-08T11:30:00+00:00,2024-01-08T20:30:00+00:00,2240.16,2335.0811907622037,1.097,2.0076,102.1209,SL,1.6701,1.4618
11,long,2024-01-09T07:30:00+00:00,2024-01-09T10:00:00+00:00,2305.33,2298.0,1.1989,2.2076,-10.9955,Replace,-0.7895,-0.94
12,long,2024-01-09T10:00:00+00:00,2024-01-09T12:30:00+00:00,2298.0,2271.3930770475563,1.1884,2.1721,-33.7918,SL,-1.6047,-1.6754
13,long,2024-01-09T21:00:00+00:00,2024-01-10T01:30:00+00:00,2290.64,2367.298643806708,1.1479,2.1387,85.8577,SL,0.4274,0.2591
14,long,2024-01-10T09:00:00+00:00,2024-01-10T12:00:00+00:00,2415.38,2368.114828856679,1.1953,2.2871,-58.7831,SL,0.7051,0.5745
15,long,2024-01-10T20:30:00+00:00,2024-01-11T06:00:00+00:00,2484.41,2581.0820562893373,1.0911,2.2108,103.2681,SL,1.5561,1.5291
16,long,2024-01-11T15:00:00+00:00,2024-01-11T16:00:00+00:00,2647.67,2585.0605441309203,1.1408,2.3878,-73.8127,SL,1.5827,1.3541
